ID,GROUP,DATE,AGE,Gender,MEMORIZATION,GRIT,TEAMWORK,DISCIPLINE,SELF ESTEEM,CREATIVITY,LANGUAGE

101,A,1/5/2015,14,1,6,5,5,5,5,5,5

102,A,1/5/2015,18,1,6,7,6,6,6,7,6

103,A,1/5/2015,14,1,,,,,,,

104,A,1/5/2015,16,1,,,,,,,

105,A,1/5/2015,14,1,6,6,6,6,6,6,6

106,A,1/5/2015,16,1,6,7,6,7,7,7,6

107,A,1/5/2015,15,1,,,,,,,

108,A,1/5/2015,12,1,6,6,6,6,6,6,6

109,A,1/5/2015,16,1,,,,,,,

110,A,1/5/2015,,1,,,,,,,

111,A,1/5/2015,10,1,6,6,6,6,6,6,6

112,A,1/5/2015,,1,,,,,,,

113,A,1/5/2015,14,1,6,6,5,6,6,6,6

114,A,1/5/2015,14,1,,,,,,,

115,A,1/5/2015,16,1,,,,,,,

116,A,1/5/2015,13,1,,,,,,,

117,A,1/5/2015,15,1,,,,,,,

118,A,1/5/2015,7,1,6,6,6,6,6,6,5

119,A,1/5/2015,14,1,,,,,,,

120,A,1/5/2015,17,1,,,,,,,

121,A,1/5/2015,14,1,6,6,6,6,6,6,6

101,A,1/7/2015,14,1,6,5,5,5,5,5,5

102,A,1/7/2015,18,1,6,7,6,7,6,7,6

103,A,1/7/2015,14,1,,,,,,,

104,A,1/7/2015,16,1,,,,,,,

105,A,1/7/2015,14,1,6,6,6,6,6,6,6

106,A,1/7/2015,16,1,6,7,6,7,6,7,6

107,A,1/7/2015,15,1,5,3,6,6,6,6,5

108,A,1/7/2015,12,1,6,6,6,6,6,6,6

109,A,1/7/2015,16,1,6,6,6,6,6,6,6

110,A,1/7/2015,,1,,,,,,,

111,A,1/7/2015,10,1,6,6,6,5,6,6,6

112,A,1/7/2015,,1,,,,,,,

113,A,1/7/2015,14,1,6,6,6,6,6,6,6

114,A,1/7/2015,14,1,6,6,6,6,6,6,6

115,A,1/7/2015,16,1,6,4,6,6,6,6,5

116,A,1/7/2015,13,1,,,,,,,

117,A,1/7/2015,15,1,,,,,,,

118,A,1/7/2015,7,1,6,6,6,6,6,6,6

119,A,1/7/2015,14,1,6,6,6,6,6,6,5

120,A,1/7/2015,17,1,6,6,6,6,6,6,6

121,A,1/7/2015,14,1,6,6,6,6,6,6,6

101,A,1/9/2015,14,1,,,,,,,

102,A,1/9/2015,18,1,6,7,6,7,6,7,6

103,A,1/9/2015,14,1,,,,,,,

104,A,1/9/2015,16,1,,,,,,,

105,A,1/9/2015,14,1,,,,,,,

106,A,1/9/2015,16,1,6,7,6,7,6,7,6

107,A,1/9/2015,15,1,,,,,,,

108,A,1/9/2015,12,1,6,6,6,6,6,6,6

